"Rank","NASA","TA","EXT","AGR","CS","NT","OP","AV","EM","Task","H","RS","WH","TWR","BR","NP","SR","AP","AR","DWH","DWR","T","DS"
"Professor",26,48,5,7,8,8,7,23,25,17,22,1,3,30,2,2,1,3,5,5,70,3,3
"Associate Professor",26,37,7,8,8,6,7,16,20,24,19,1,4,50,3,1,1,4,5,5,80,3,2
"Professor",23,58,5,5,10,10,9,17,26,29,25,2,4,30,2,3,1,3,2,4,60,2,2
"Assistant Professor",25,63,6,9,10,9,8,23,33,27,20,2,4,30,3,1,1,3,5,4,70,1,3
"Professor",16,36,7,7,7,4,10,21,20,31,0,2,4,50,2,1,1,3,4,3,50,3,2
"Professor",19,32,2,9,10,6,8,20,17,31,110,2,3,40,2,2,1,4,3,5,70,1,3
"Professor",27,37,7,10,10,4,7,21,17,30,65,1,4,70,3,3,1,4,5,5,80,3,2
"Associate Professor",19,47,5,10,10,6,6,23,23,30,38,2,4,60,3,1,1,4,5,5,30,3,3
"Professor",18,55,8,7,8,6,10,16,23,28,15,2,3,50,3,2,2,2,3,3,50,3,2
"Assistant Professor",6,47,6,6,6,6,6,7,7,7,4,1,1,0,1,1,1,4,1,1,0,1,1
"Associate Professor",26,35,4,7,7,5,8,23,14,30,24,2,4,30,2,2,2,4,5,3,10,3,1
"Professor",29,38,8,5,9,8,6,20,21,27,24,2,3,50,2,NA,NA,NA,NA,NA,NA,NA,NA
"Assistant Professor",20,39,10,10,9,5,6,19,13,24,11,1,3,60,3,3,1,4,2,5,90,3,2
"Professor",14,30,4,8,7,6,10,13,12,27,69,1,3,30,3,2,1,3,5,5,80,1,3
"Associate Professor",26,35,6,8,7,6,6,18,19,29,23,2,3,70,2,3,1,2,5,5,90,2,1
"Professor",17,25,9,9,9,3,8,23,10,28,87,1,2,50,2,2,1,2,2,4,70,1,2
